Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for,Physical limitation,Tags
Prone Cobra (Arms Side),All Ages,Weight Loss,Activation/Mobility,Core,Bodyweight,Beginner,3,15-12,6-4,30-60 sec,Improves hand grip strength and forearm muscular endurance,"1. Lie prone with legs extended and forehead on the floor.
2. Place your arms alongside your torso with palms facing down.
3. Lift your chest and arms a few inches off the floor while squeezing your shoulder blades.
4. Hold for 5-10 seconds, then lower and repeat.",Grip the towel firmly using fingers and thumb without tensing the forearm excessively,4,,Thoracic stiffness (upper-back rigidity),
Step Touch (Low Arms),40-59,Weight Gain,Cardio,Lower,Bodyweight,Beginner,3,12-8,5-3,60-90 sec,Develops chest and triceps activation with reduced load on joints,"1. Stand with feet together and arms relaxed at waist height.
2. Step your right foot to the right about shoulder-width and bend your knees slightly.
3. Bring your left foot to meet your right and tap the floor while moving your arms low to the right.
4. Repeat the same motion to the left side, alternating rhythmically.",Maintain a neutral spine and lower with controlled elbows close to the body,2.8,,Limited single-leg balance,
Short Arc Quad,40-59,Weight Gain,Strength,Lower,Bodyweight,Beginner,3,20-30,4-2,15-30 sec,Improves lateral agility and lower body coordination,"1. Sit on the edge of a firm chair with feet flat and knees bent.
2. Straighten one knee a few inches by contracting the front thigh, keeping a small bend.
3. Hold the lifted position briefly, then lower the foot slowly.
4. Repeat for desired reps, then switch legs.",Step laterally with controlled weight transfer and keep the chest lifted,3,,Knee injury (ACL / meniscus / post-surgery),Main workout
Hip Flexor Stretch (Standing),All Ages,Weight Loss,Flexibility / Stretching,Lower,Bodyweight,Beginner,3,15-10,7-5,45-60 sec,Activates quadriceps to improve knee extension control,"1. Stand tall with feet hip-width apart and hands on hips.
2. Step one foot back into a long lunge while keeping the front knee over the ankle.
3. Tilt your pelvis forward and shift hips until you feel a stretch in the front of the back hip.
4. Keep your torso upright, hold the stretch, then switch legs.",Support the thigh and contract the quad to extend the knee with controlled movement,2.4,,Hip stiffness / limited hip mobility,Cooldown
Calf Raise (Seated),40-59,Weight Gain,Strength,Lower,Bodyweight,Beginner,3,20-1,6-4,30-60 sec,Enhances hip flexor endurance and promotes circulation in lower limbs,"1. Sit upright on a chair with feet flat and knees at about 90 degrees.
2. Press through the balls of both feet to lift your heels as high as possible.
3. Pause at the top, then lower your heels slowly back to the floor.
4. Repeat for desired repetitions.",Sit tall with a neutral spine and lift each knee slowly without leaning back,2.6,,Ankle pain,Main workout
Towel Grab (Toes),All Ages,Weight Loss,Strength,Lower,Bodyweight,Beginner,3,15-12,8-6,45-60 sec,Builds calf muscle strength and supports ankle stability,"1. Sit on a chair with bare feet flat and a towel laid on the floor under your toes.
2. Extend your toes forward and then curl them to hook the towel edge.
3. Pull the towel toward you by flexing your toes while keeping heels down.
4. Release the towel and repeat the curl-and-pull motion in control.",Press through the balls of the feet and lift the heels with controlled ankle alignment,2.1,,Foot pain (plantar fasciitis / heel pain),Main workout
Pelvic Tilts (Seated),All Ages,Weight Loss,Activation/Mobility,Core,Bodyweight,Beginner,3,15-10,8-6,60-90 sec,Develops lower body strength and functional sit to stand ability,"1. Sit upright on a chair with feet flat and hands on your hips.
2. Tuck your tailbone and draw your belly button toward your spine to flatten the lower back.
3. Release the tuck and arch your lower back slightly while lifting the chest.
4. Alternate the posterior and anterior tilts in a slow, controlled rhythm.",Maintain controlled movement and proper alignment throughout,3.8,,Lower back pain (non-specific),
Neck Isometric Side Bend,40-59,Weight Gain,Strength,Upper,Bodyweight,Beginner,3,3-1,7-5,30-60 sec,Strengthens lateral core muscles and improves side stability,"1. Sit or stand tall with shoulders relaxed and head facing forward.
2. Place your right hand gently against the right side of your head.
3. Press your head into your hand while resisting movement with your hand for a few seconds.
4. Switch sides and repeat the resisted press on the left side.",Stack shoulders over elbow and lift hips into a straight line while breathing steadily,2.8,"Hypertension, Coronary Artery Disease",Neck pain,Main workout
Table Top Slide (Forward),60+,Weight Loss,Activation/Mobility,Core,Bodyweight,Beginner,3,12-10,5-3,30-60 sec,Improves thoracic mobility and upright posture,"1. Start on hands and knees with wrists under shoulders and knees under hips, keeping a neutral spine.
2. Brace your core and press your palms into the floor.
3. Slowly slide your hands forward while keeping hips and torso steady.
4. Pause at end range, then pull your hands back under your shoulders.",Sit tall and extend through the thoracic spine while keeping the core braced,2,,Thoracic stiffness (upper-back rigidity),
Side-Lying External Rotation (Towel),All Ages,Weight Gain,Strength,Upper,Bodyweight,Beginner,3,12-8,6-4,45-60 sec,Promotes scapular control and shoulder girdle stability,"1. Lie on your side with knees bent and place a rolled towel under your upper arm near the elbow.
2. Tuck your elbow against your side and rest your forearm across your belly.
3. Rotate your forearm upward toward the ceiling while keeping the elbow fixed to your side.
4. Lower your forearm back down with control.",Keep shoulders down and back and avoid shrugging toward the ears,4,,Rotator cuff weakness / instability,Main workout
Wrist Supination (Hammer Grip),40-59,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,3,15-10,6-4,30-60 sec,Enhances scapular mobility and shoulder range of motion,"1. Sit or stand with elbow bent 90° at your side and make a fist with the thumb pointing up.
2. Keep the elbow stationary and rotate your forearm so the palm faces up.
3. Rotate back to the starting hammer-grip position with control.",Maintain a neutral pelvis and slide the shoulders forward with slow controlled motion,2.2,,Wrist pain / limited wrist mobility,
Modified Plank (Forearm/Knee),60+,Weight Loss,Strength,Core,Bodyweight,Beginner,3,15-12,7-5,45-90 sec,Strengthens shoulder external rotators and improves rotational control,"1. Place forearms on the mat shoulder-width apart and set knees on the floor under hips.
2. Engage your core and keep a straight line from head to knees without sagging or arching.
3. Hold the position while breathing steadily for the desired time.
4. Lower hips gently to the mat to rest.",Keep the elbow tucked to the side and rotate slowly while stabilizing the shoulder blade,4,,Reduced core stability,Main workout
Chin Tucks (Seated),40-59,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,3,15-10,7-5,45-90 sec,Builds core endurance and enhances trunk stability,"1. Sit tall on a chair with feet flat and shoulders relaxed.
2. Draw your chin straight back toward the spine without tilting the head up or down.
3. Hold the tucked position for a few seconds while breathing evenly.
4. Release slowly and return to neutral.",Keep a straight line from head to hips and brace the core,2.3,"Hypertension, Coronary Artery Disease",Poor posture (rounded shoulders / forward head),
Floor Angels (Partial Range),60+,Weight Loss,Activation/Mobility,Upper,Bodyweight,Beginner,3,15-10,5-3,30-60 sec,Promotes cervical alignment and deep neck muscle activation,"1. Lie on your back with knees bent and feet flat, and place elbows bent at 90 degrees by your sides.
2. Press your lower back into the floor and keep elbows and wrists lightly touching the ground.
3. Slowly slide your arms outward and upward within a comfortable range while maintaining contact.
4. Return arms to the starting position with controlled motion.",Gently retract the chin keeping eyes level and lengthen the back of the neck,4,,Thoracic stiffness (upper-back rigidity),
Seated Knee Extension (Alternating),40-59,Weight Maintenance,Activation/Mobility,Lower,Bodyweight,Beginner,3,20-30,5-3,30-60 sec,Enhances hip flexor activation and circulation through rhythmic seated movement,"1. Sit upright on a chair with back straight and feet flat.
2. Extend your right leg until the knee is nearly straight and hold briefly.
3. Lower the right leg with control and immediately extend the left leg.
4. Continue alternating legs in a steady, controlled rhythm.",Sit tall with hips back and lift knees alternately with controlled breath,2.1,,Knee pain (general / chronic),
Supine Quad Set,60+,Weight Loss,Activation/Mobility,Lower,Bodyweight,Beginner,3,15-12,5-3,30-60 sec,Improves quadriceps activation and knee joint mobility,"1. Lie on your back with legs straight and toes pointing up.
2. Squeeze the front of one thigh and press the back of the knee gently into the floor.
3. Hold the contraction for a few seconds.
4. Relax and repeat on the other leg.",Keep core braced and back against the chair while extending the knee slowly,2.2,,Knee injury (ACL / meniscus / post-surgery),
Standing Hip Abduction (Micro),All Ages,Weight Gain,Activation/Mobility,Lower,Bodyweight,Beginner,3,15-10,4-2,30-60 sec,Enhances quadriceps engagement and improves knee stability,"1. Stand tall with feet hip-width apart and hands on your hips.
2. Shift weight onto your left leg and keep it slightly bent.
3. Lift your right leg a few inches out to the side with toes pointing forward.
4. Lower the right leg with control and repeat, then switch sides.",Squeeze the thigh and press the knee into the mat while keeping the pelvis level,4,,Limited single-leg balance,
Seated Butterfly (Gentle),40-59,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,3,15-12,5-3,30-60 sec,Strengthens hip abductor muscles and enhances lateral pelvic control,"1. Sit tall on the edge of a chair and bring the soles of your feet together.
2. Hold your feet with your hands and let your knees fall open to the sides.
3. Keep your spine straight and gently press your elbows on your inner thighs.
4. Breathe calmly and maintain the position for several slow breaths.",Stand tall with hips square and lift the leg without tilting the pelvis,2.3,,Hip stiffness / limited hip mobility,
Seated Toe Taps,60+,Weight Loss,Activation/Mobility,Core,Bodyweight,Beginner,2,12-10,4-2,30-60 sec,Improves inner thigh flexibility and hip range of motion,"1. Sit tall on a chair with knees bent and feet flat on the floor.
2. Lift one foot and tap the toes to the floor in front of you, then return to the start.
3. Alternate feet at a controlled, steady pace.",Maintain controlled movement and proper alignment throughout,2,,Ankle pain,
Stork Stance (Chair Assist),All Ages,Weight Gain,Balance & Stability,Lower,Bodyweight,Beginner,3,15-20,5-3,30-60 sec,Engages lower abdominal muscles and promotes ankle mobility,"1. Stand behind a sturdy chair and place both hands lightly on the backrest for support.
2. Shift weight onto one foot and bend the standing knee slightly.
3. Lift the other foot and place the toes beside the ankle or against the inner calf of the standing leg.
4. Hold your balance, then lower the raised foot and repeat on the other side.",Keep the low back neutral and lower each toe with control while breathing evenly,4,,Limited single-leg balance,Main workout
