,Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value
93,Triple Jumps,40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,6–8,8–9,90–120 sec,Improves explosive power and coordination across sequential lower limb actions,"1. Stand on one foot with a slight knee bend.
2. Hop forward on the same foot and land lightly.
3. Step forward onto the opposite foot and immediately push off.
4. Finish with a two-foot jump and land with knees bent.",Land softly with bent knees and absorb force through hips and ankles,8
94,Lateral Box Overs,40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,8–12,7–8,60–90 sec,Develops lateral power and quickness while challenging balance and agility,"1. Stand side-on to the box with feet hip-width.
2. Bend knees and swing arms back to load power.
3. Jump laterally onto the box and immediately continue over to the other side.
4. Land softly with knees bent and reset before the next rep.",Control lateral push-off and land softly with hips back and knees bent,6.5
95,Plyometric Side Plank,40–59,Weight Maintenance,Strength,Core,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,8–10,7–8,45–60 sec,Builds lateral core stability and dynamic shoulder control,"1. Settle into a forearm side plank with feet stacked.
2. Dip your hips toward the floor in a controlled motion.
3. Explode the hips upward to lift as high as possible and hold briefly.",Keep a straight line from head to heels and brace the core before each hop,5.5
96,Dragon Squats,40–59,Weight gain,Mobility,Lower,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,6–8,8–9,90–120 sec,Increases single leg strength and deep hip mobility,"1. Stand on one leg with the other leg extended behind and toes touching the ground.
2. Shift hips back and reach the opposite hand toward the floor.
3. Lower until your thigh is near parallel or your hand touches the floor.
4. Drive through the standing heel to return to the starting position.",Maintain controlled movement and proper alignment throughout,5
97,Bridge Walk-outs,40–59,Weight Maintenance,Strength,Core,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,10–12,6–7,45–60 sec,Strengthens posterior chain and improves glute and hamstring engagement,"1. Lie on your back with knees bent and feet hip-width.
2. Lift hips until your body forms a straight line from shoulders to knees.
3. Walk your feet slowly forward one step at a time until legs are nearly straight.
4. Walk feet back to the start and lower hips with control.",Keep glutes engaged and maintain a neutral spine as you walk out,3.5
98,360-Degree Jumps,40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,6–10,8–9,90–120 sec,Enhances rotational power and proprioception during multidirectional jumping,"1. Stand with feet hip-width and knees slightly bent.
2. Wind up your arms and rotate your torso toward the jump direction.
3. Jump explosively and rotate 360 degrees in the air.
4. Spot your landing and absorb the impact with bent knees.",Rotate under control and land softly with knees bent while spotting the landing,7
99,Archer Squats,40–59,Weight gain,Mobility,Lower,Bodyweight,Intermediate,Thoracic stiffness (upper-back rigidity),3,6–8,8–9,90–120 sec,Builds unilateral leg strength and improves balance under load,"1. Stand in a wide stance with toes slightly turned out.
2. Shift weight to one leg and bend that knee while keeping the other leg straight.
3. Lower until the bent thigh is near parallel to the floor.
4. Push through the bent leg to return to center and repeat on the other side.",Keep chest lifted and shift weight smoothly to the working leg while controlling the descent,5
100,Turkish Get-Up (Bodyweight),40–59,Weight Maintenance,Strength,Full,Bodyweight,Advanced,Thoracic stiffness (upper-back rigidity),3,3–5,7–8,60–90 sec,Improves full body coordination strength and controlled movement transitions,"1. Lie on your back with one arm extended overhead and the same-side knee bent.
2. Roll onto the opposite elbow, press up onto your hand, and lift your hips.
3. Sweep the straight leg back into a kneeling lunge and stand up while keeping the arm overhead.
4. Reverse the sequence with control to return to the lying start position.",Move deliberately through each step keeping the shoulder packed and core engaged,4.5
1,Standard Pushups,All Ages,Weight gain,Strength,Upper,Bodyweight,Intermediate,Shoulder pain (general),3,8–15,7–8,60–90 sec,Develops upper body strength and core stability,"1. Start in a high plank with hands under shoulders and feet hip-width apart.
2. Lower your chest toward the floor by bending your elbows.
3. Push back up to the starting position while keeping a straight line from head to heels.
4. Breathe steadily and maintain steady, controlled reps.",Keep core braced and spine neutral throughout the movement,4.5
2,Arm Circles (Large),60+,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Shoulder pain (general),2,15–20,6–7,30–45 sec,Enhances shoulder mobility and warms shoulder muscles,"1. Stand tall with arms extended out to the sides at shoulder height.
2. Rotate both arms forward in large, controlled circles.
3. Reverse the direction and rotate both arms backward in large, controlled circles.",Keep shoulders down and move with slow controlled arcs,3
3,Shoulder Shrugs,60+,Weight Maintenance,Strength,Upper,Bodyweight,Beginner,Shoulder pain (general),3,10–15,6–7,30–45 sec,Strengthens upper trapezius muscles and improves shoulder support,"1. Stand with feet hip-width and arms relaxed at your sides.
2. Lift both shoulders straight up toward your ears in a shrugging motion.
3. Lower your shoulders fully back down with control.",Lift and lower shoulders slowly while keeping neck long,2.5
4,Doorway Chest Stretch,60+,Weight Maintenance,Flexibility / Stretching,Upper,Bodyweight,Beginner,Shoulder pain (general),2,20–30,6–7,30–60 sec,Improves chest flexibility and promotes better posture,"1. Stand in a doorway and place forearms on the frame at elbow height.
2. Step one foot forward and lean your chest gently through the doorway.
3. Keep your spine neutral and shoulder blades down.
4. Hold the position while breathing calmly.",Keep ribs down and draw shoulder blades back to avoid overarching the lower back,2
5,Standing Overhead Reach,60+,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Shoulder pain (general),2,8–12,6–7,30–45 sec,Improves shoulder and thoracic mobility while encouraging full body extension,"1. Stand tall with feet hip-width and arms at your sides.
2. Reach both arms straight overhead until your biceps are by your ears.
3. Lengthen up through your sides and reach higher.",Reach overhead while keeping ribs down and shoulders relaxed,2.8
6,High Plank (Hold),60+,Weight Maintenance,Strength,Core,Bodyweight,Intermediate,Shoulder pain (general),3,30–45,7–8,60–90 sec,Builds core endurance and improves spinal stability,"1. Start in a high plank with hands under shoulders and body in a straight line.
2. Engage your core and glutes to prevent sagging or hiking of the hips.
3. Hold the plank position while breathing steadily.",Maintain a straight line from head to heels and avoid sagging hips,3.5
7,Side-Lying Arm Swings,60+,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Shoulder pain (general),2,10–12,6–7,30–45 sec,Promotes shoulder mobility and coordination in a supported position,"1. Lie on your side with legs stacked and the lower arm supporting your head.
2. Swing the top arm forward and then back in a controlled arc across your body.
3. Keep your hips stable and repeat, then switch sides.",Keep hips stacked and core engaged to stabilize the torso,2.5
8,Wall Slides,60+,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Shoulder pain (general),3,10–15,6–7,30–60 sec,Enhances scapular control and shoulder mobility,"1. Stand with your back and heels against a wall and arms bent at 90 degrees.
2. Press your arms into the wall and slide them upward until fully extended.
3. Maintain contact of your lower back and wrists with the wall.
4. Slide your arms back down to the starting position with control.",Keep low back flat to the wall and slide arms slowly with control,3
9,Jumping Jacks,All Ages,Weight loss,Cardio,Full,Bodyweight,Intermediate,Shoulder pain (general),3,30–60,7–8,30–60 sec,Improves cardiovascular fitness and whole body coordination,"1. Stand tall with feet together and arms at your sides.
2. Jump your feet out wide while simultaneously raising your arms overhead.
3. Jump your feet back together while lowering your arms to your sides and repeat.",Land softly with knees slightly bent and maintain a tall chest,7
10,Bird-Dog (Full Reach),60+,Weight Maintenance,Balance & Stability,Core,Bodyweight,Beginner,Shoulder pain (general),3,8–12,7–8,45–60 sec,Enhances core stability and balance through contralateral limb coordination,"1. Start on hands and knees with hands under shoulders and knees under hips.
2. Extend your right arm forward and left leg back until both are parallel to the floor.
3. Keep your hips and shoulders square to the floor while reaching.
4. Hold briefly, return to the start, and repeat on the opposite side.",Extend opposite arm and leg while keeping hips square and core braced,3
11,"Standing ""Y"" Raise",60+,Weight gain,Strength,Upper,Bodyweight,Beginner,Shoulder pain (general),3,8–12,6–7,30–45 sec,Enhances shoulder stability and scapular upward rotation,"1. Stand tall with feet hip-width apart and arms at your sides.
2. Hinge slightly at the hips and lift both arms diagonally overhead into a Y with thumbs up.
3. Squeeze the shoulder blades and hold the top position briefly.
4. Lower arms slowly to the start position.",Keep core braced and lift arms in a controlled Y with shoulders down,3
12,"Standing ""T"" Raise",60+,Weight gain,Strength,Upper,Bodyweight,Beginner,Shoulder pain (general),3,8–12,6–7,30–45 sec,Improves posterior shoulder strength and scapular retraction,"1. Stand tall with feet hip-width apart and arms out at shoulder height.
2. Keep a slight bend in the elbows and palms facing down.
3. Squeeze the shoulder blades and hold the T position briefly.
4. Lower arms slowly to the start position.",Retract shoulder blades and open arms to a T with palms facing down,3
13,Cross-Body Arm Stretch,60+,Weight Maintenance,Flexibility / Stretching,Upper,Bodyweight,Beginner,Shoulder pain (general),2,1–2,6–7,20–30 sec,Increases shoulder flexibility and stretches posterior shoulder tissues,"1. Stand or sit tall with spine long and shoulders relaxed.
2. Bring one arm straight across your chest at shoulder height.
3. Use the opposite hand to gently pull the arm closer and hold.",Maintain controlled movement and proper alignment throughout,2.5
