Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical Limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for
Scalene Stretch (Hand on Clavicle),40-59,Weight Maintenance,Flexibility / Stretching,Upper,Bodyweight,Beginner,Neck Pain,3,20–30,6–7,30–60 sec,Improves neck and upper chest flexibility while easing muscle tightness,"1. Sit or stand tall and place one hand gently on the same-side clavicle to depress it.
2. Tilt the head toward the opposite shoulder and slightly rotate the chin upward.
3. Hold the stretch with a gentle sensation in the front-side neck.
4. Release and repeat on the other side.",Anchor your clavicle lightly with the hand and tilt the head without rotating the neck,4,None
Knee Lift Hold (Standing),60+,Weight Loss,Balance & Stability,Core,Bodyweight,Beginner,Neck Pain,3,10–20,6–8,45–60 sec,Enhances core engagement and hip flexor endurance during balance tasks,"1. Stand tall with feet hip-width apart and hands on hips or at sides.
2. Lift one knee toward hip height while keeping the torso upright and core engaged.
3. Hold the lifted position, then lower the foot back to the floor and repeat on the other side.",Brace your core and lift the knee to hip height while keeping hips level,2.8,"Hypertension, Coronary Artery Disease"
Standing Hip Circles,All Ages,Weight Maintenance,Mobility,Lower,Bodyweight,Beginner,Neck Pain,2,8–12,6–7,30–45 sec,Increases hip joint mobility and coordination through controlled circular motion,"1. Stand tall with hands on hips and feet shoulder-width apart.
2. Lift one knee slightly and initiate a smooth circular motion from the hip joint.
3. Complete several clockwise circles while keeping the torso stable.
4. Reverse the direction and repeat with the other hip.",Maintain a tall spine and move the hip slowly with controlled range,2,None
Isometric Wall Press (Chest),40-59,Weight Gain,Strength,Upper,Bodyweight,Beginner,Neck Pain,3,10–20,7–8,60–90 sec,Builds chest isometric strength and shoulder stability without joint movement,"1. Stand facing a wall at arm's length with palms flat at chest height.
2. Press both palms into the wall without letting the torso move and squeeze the chest muscles.
3. Hold the press, then release the pressure and relax the arms.",Press evenly into the wall with both hands and keep shoulders down and back,3,"Hypertension, Coronary Artery Disease"
Skater Steps (No Jump),60+,Weight Loss,Cardio,Full,Bodyweight,Beginner,Neck Pain,3,12–16,7–8,45–60 sec,Improves lateral agility and balance with low impact stepping,"1. Stand with feet hip-width apart and knees slightly bent.
2. Step sideways onto one foot while sliding the other foot behind and across, shifting weight smoothly.
3. Push back to the starting position and repeat the motion to the opposite side.",Step laterally with control and land softly with knees slightly bent,4.5,None
Seated Pigeon Pose,All Ages,Weight Gain,Flexibility / Stretching,Lower,Bodyweight,Beginner,Neck Pain,3,30–60,6–7,30–60 sec,Stretches outer hip and gluteal muscles to enhance hip flexibility,"1. Sit tall on a chair or mat and cross one ankle over the opposite thigh near the knee.
2. Keep the spine long and flex the crossed foot to protect the knee.
3. Lean forward from the hips with a flat back until you feel a stretch in the outer hip.
4. Hold the position, then uncross and repeat on the other side.",Sit tall and hinge forward from the hips while keeping a neutral spine,2,Hypertension
Heel-Toe Rocking,40-59,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Neck Pain,2,12–15,6–7,30–45 sec,Promotes ankle mobility and foot proprioception for improved balance,"1. Stand with feet hip-width apart and knees soft.
2. Shift weight back onto the heels so toes lift slightly, then rock forward onto the toes lifting the heels.
3. Continue alternating the heel-toe rocking with controlled movement.",Rock slowly between heel and toe while keeping the ankle aligned under the knee,2,None
Dead Bug (Legs Only),60+,Weight Gain,Strength,Core,Bodyweight,Beginner,Neck Pain,3,8–12,6–7,30–60 sec,Builds core coordination and control for safer movement patterns,"1. Lie on your back with knees bent at 90 degrees and feet lifted off the floor.
2. Engage your core and press your lower back gently into the floor.
3. Slowly extend one leg toward the floor without letting the lower back arch.
4. Return the leg to the start and repeat with the other leg.",Keep lower back pressed into the floor and breathe evenly,2.8,None
Standing Leg Curls,All Ages,Weight Loss,Strength,Lower,Bodyweight,Beginner,Neck Pain,3,10–15,7–8,60–90 sec,Strengthens hamstrings and improves single-leg balance,"1. Stand tall next to a support and place light weight on the opposite hand.
2. Bend one knee and curl the heel toward your glute.
3. Lower the foot with control and repeat on the other side.",Control the knee bend and avoid swinging the hip,3,None
Karaoke Step (Slow),40-59,Weight Maintenance,Cardio,Full,Bodyweight,Beginner,Neck Pain,3,12–16,6–7,30–60 sec,Enhances lateral hip mobility and coordination for improved movement control,"1. Stand with feet hip-width and arms relaxed at your sides.
2. Step the right foot wide to the side with a slow controlled motion.
3. Cross the left foot behind the right foot and step right again.
4. Reverse the sequence to the left at the same slow tempo.",Keep chest lifted and place each step with control,3,None
Wrist Flexor Stretch,60+,Weight Loss,Flexibility / Stretching,Upper,Bodyweight,Beginner,Neck Pain,2,20–30,6–7,30–45 sec,Increases wrist and forearm flexibility for better range of motion,"1. Extend one arm straight in front with the palm facing up.
2. Use the opposite hand to gently pull the fingers and palm downward.
3. Hold the stretch and then switch arms.",Keep forearm aligned with the wrist and avoid shrugging the shoulder,4,None
Standing Star (Small Range),All Ages,Weight Gain,Balance & Stability,Full,Bodyweight,Beginner,Neck Pain,3,8–12,6–7,30–60 sec,Improves standing balance and shoulder mobility within a controlled range,"1. Stand tall with feet hip-width and arms at your sides.
2. Lift one arm and the opposite leg slightly outward to form a small star shape.
3. Lower both limbs with control back to the starting position.
4. Repeat the movement on the opposite side.",Keep hips level and core engaged,3.5,None
Scapular Depression (Seated),40-59,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Neck Pain,3,10–15,6–7,30–60 sec,Enhances scapular control and contributes to improved shoulder positioning,"1. Sit upright with feet flat and hands resting on your thighs.
2. Draw your shoulder blades down away from your ears without shrugging.
3. Hold the depressed position briefly and then relax.",Sit tall and actively pull the shoulder blades down,4,None
Glute Kickbacks (Standing),60+,Weight Loss,Strength,Lower,Bodyweight,Beginner,Neck Pain,3,12–15,7–8,45–60 sec,Activates glute muscles and supports hip extension strength during standing movements,"1. Stand holding a stable support and transfer weight to one leg.
2. Keep the working knee bent and drive the heel back while squeezing the glute.
3. Lower the leg with control and repeat on the other side.",Keep hips square and hinge from the hip while squeezing the glute,3,None
Box Step-Overs,All Ages,Weight Gain,Cardio,Lower,Bodyweight,Beginner,Neck Pain,3,10–12,7–8,60–90 sec,Challenges dynamic balance and agility while improving hip mobility and stepping coordination,"1. Stand beside a low box or step facing along its length.
2. Step one foot onto the box and shift your weight forward onto that foot.
3. Step the other foot over the box and place it down on the far side.
4. Step down to the starting side and repeat leading with the opposite foot.",Step fully onto the box and keep a controlled upright torso,4.5,None
Seated Pelvic Clock,40-59,Weight Maintenance,Mobility,Core,Bodyweight,Beginner,Neck Pain,3,10–12,6–7,30–45 sec,Improves pelvic mobility and movement awareness to enhance core coordination,"1. Sit upright on a chair with feet flat and hands on your thighs.
2. Tilt your pelvis forward to the 12 o’clock position and then tilt it backward to 6 o’clock.
3. Move slowly through the 3 and 9 o’clock positions while keeping your spine neutral.
4. Continue cycling the pelvic positions in a slow, controlled rhythm.",Keep spine neutral and move the pelvis slowly with controlled breaths,4,None
Corner Pec Stretch,60+,Weight Gain,Flexibility / Stretching,Upper,Bodyweight,Beginner,Neck Pain,2,20–30,6–7,30–45 sec,Stretches the chest and anterior shoulder to increase upper body flexibility,"1. Stand facing a corner and place your forearms on each wall at shoulder height.
2. Lean your chest toward the corner until you feel a stretch across the front of your shoulders and chest.
3. Hold the position and then step back to release.",Keep hips square and gently retract the shoulder blades,4,None
Single Leg Deadlift (Bodyweight),All Ages,Weight Loss,Balance & Stability,Lower,Bodyweight,Beginner,Neck Pain,3,8–12,7–8,60–90 sec,Builds hamstring and glute strength and enhances single-leg balance,"1. Stand on one leg with a slight bend in the knee of the supporting leg.
2. Hinge at the hips and extend the other leg straight back while keeping your back flat.
3. Lower your torso until it is parallel to the floor and reach toward the ground.
4. Squeeze the glute of the standing leg and drive the hips forward to return upright.",Hinge from the hips and keep a neutral spine throughout the movement,3.5,Sarcopenia
Reverse Plank (Tabletop),40-59,Weight Gain,Strength,Core,Bodyweight,Beginner,Neck Pain,3,20–30,6–8,30–60 sec,Strengthens posterior chain and supports core and shoulder stability,"1. Sit with knees bent, feet flat, and hands placed behind you by your hips.
2. Press through your hands and heels to lift your hips until your torso forms a straight line from shoulders to knees.
3. Keep your neck neutral and hold the lifted position.
4. Lower your hips back down with control.",Press through hands and heels to keep hips aligned with shoulders,2,"Hypertension, Coronary Artery Disease"
Ladder Climb (Arm/Leg Motion),60+,Weight Loss,Cardio,Full,Bodyweight,Beginner,Neck Pain,3,6–10,7–9,60–90 sec,Enhances coordination and provides low-impact full-body movement practice,"1. Stand facing an imaginary ladder with feet hip-width apart.
2. Step forward with one foot and reach the opposite hand upward as if grabbing a rung.
3. Pull the knee of the stepping leg up toward your chest while lowering the reaching hand.
4. Alternate sides in a controlled climbing motion.",Maintain a neutral spine and move arms and legs deliberately without twisting,6,None
Shoulder Shrugs (Controlled),All Ages,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Neck Pain,3,10–15,6–7,30–60 sec,Increases trapezius endurance and promotes neck and shoulder mobility,"1. Stand or sit tall with arms relaxed at your sides.
2. Lift both shoulders straight up toward your ears in a controlled motion.
3. Lower your shoulders back down slowly and repeat.",Raise and lower your shoulders slowly while keeping the neck relaxed,2.5,None
IT Band Cross-Over Stretch,40-59,Weight Gain,Flexibility / Stretching,Lower,Bodyweight,Beginner,Neck Pain,2,20–30,6–7,30–60 sec,Lengthens lateral thigh tissue and improves hip joint flexibility,"1. Stand upright and cross your right leg behind your left leg.
2. Lean your torso to the left and push your hips to the right until you feel a stretch along the outer right thigh.
3. Hold the stretch, then switch legs and repeat on the other side.",Square your hips and hinge forward from the hips without rotating the torso,2,None
