Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical Limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for,Tags
Band Zig Zag Walk,Weight Loss,Cardio,Lower,Resistance Band,Beginner,Limited single-leg balance,3,10–16,6–8,30–45 sec,Enhances lateral hip strength and agility,"1. Place a resistance band around your ankles and stand tall with soft knees.
2. Step diagonally forward and outward with your right foot while keeping tension in the band.
3. Bring your left foot forward to meet or slightly behind the right while maintaining band tension.
4. Continue alternating diagonal steps to move forward in a zigzag pattern.",Keep tall posture and take controlled diagonal steps with soft knees,3.4,None
Band Alternating Back Step,Weight Loss,Cardio,Full,Resistance Band,Beginner,Knee pain (general / chronic),3,12–16,6–8,45–60 sec,Improves single leg stability and glute activation,"1. Stand with feet hip-width and place the band under your front foot while holding the ends at your hips.
2. Step your other foot straight back into a controlled lunge until the front knee bends about 90 degrees.
3. Push through the front heel to return to standing while keeping the band under tension.
4. Repeat by stepping the opposite foot back on the next repetition.",Step back with a tight core and ensure front knee tracks over toes,3.8,None
Band Rhythmic Side Bends,Weight Loss,Cardio,Core,Resistance Band,Beginner,Lower back pain (non-specific),3,12–15,5–7,30–45 sec,Strengthens obliques and improves lateral trunk mobility,"1. Stand on the band with feet hip-width and hold an end of the band in each hand at shoulder height.
2. Brace your core and hinge at the waist to bend toward one side, sliding the top hand down your thigh.
3. Return to center by contracting the opposite oblique to lift back upright.
4. Alternate sides in a steady rhythm while keeping the band taut.",Breathe steadily and hinge only at the waist without rounding the back,3,None
Band Uppercuts,Weight Gain,Cardio,Upper,Resistance Band,Beginner,Rotator cuff weakness / instability,3,12–15,6–8,30–60 sec,Improves upper body power and rotational core strength,"1. Stand with feet hip-width on the band or anchor it low and hold handles at your sides with palms facing in.
2. Rotate your torso and drive one fist upward in an explosive uppercut toward your chin.
3. Return the hand to the starting position under control.
4. Alternate uppercuts quickly while keeping your core braced.",Drive movement from hips and brace core to protect lower back,4.5,None
Band Forward Monster Walk,Weight Gain,Cardio,Lower,Resistance Band,Beginner,Hip stiffness / limited hip mobility,3,12–15,6–7,30–60 sec,Enhances hip stability and glute activation during dynamic movement,"1. Place a loop band around your ankles and stand with a slight knee bend.
2. Step one foot diagonally forward while keeping the other foot wide to maintain band tension.
3. Follow with the trailing foot and keep hips level.
4. Continue marching forward with controlled, quick steps.",Keep chest up knees tracking over toes take slow controlled steps,3.4,None
Band Chair Stand-Ups (Fast),Weight Gain,Cardio,Full,Resistance Band,Beginner,Knee pain (general / chronic),3,8–10,7–9,60–90 sec,Builds lower body power and functional mobility for daily activities,"1. Sit on a chair with a loop band under both feet and the handles at shoulder height.
2. Lean slightly forward and explode up into a full standing position as quickly as possible.
3. Sit back down under control.
4. Repeat the stand-ups rapidly while keeping your chest lifted.",Explode up but land softly with hips back and chest tall,4.4,Sarcopenia
Band Woodchopper (Speed),Weight Gain,Cardio,Core,Resistance Band,Beginner,Lower back pain (non-specific),3,12–15,7–8,45–60 sec,Develops explosive rotational power and coordination through fast core movement,"1. Anchor the band high and stand side-on with feet shoulder-width and both hands on the handle.
2. Pull the band down and across your body in a fast diagonal chopping motion toward the opposite hip.
3. Return to the start position under control.
4. Repeat the chops quickly while rotating your torso and bracing your core.",Control the descent pivot feet and brace core throughout,5.5,"Osteoporosis, Chronic Low Back Pain"
Band Battle Rope Slams,Weight Gain,Cardio,Upper,Resistance Band,Beginner,Rotator cuff weakness / instability,3,20–30,8–9,45–60 sec,Boosts full body power and conditioning while challenging grip endurance,"1. Anchor the band overhead and grab one handle in each hand with feet hip-width.
2. Hinge slightly and raise your hands overhead if performing a double slam.
3. Explosively pull both handles down toward your hips to create a slam.
4. Reset quickly and repeat the slams at speed.",Hinge at hips maintain neutral spine exhale on each slam,6.5,"Hypertension, Coronary Artery Disease"
Band Side Step (Low Stance),Weight Gain,Cardio,Lower,Resistance Band,Beginner,Knee pain (general / chronic),3,12–20,6–8,30–60 sec,Strengthens lateral hip muscles and improves lower body stability in low stance,"1. Place a loop band around your legs just above the knees and stand with feet hip-width apart in a low quarter-squat.
2. Sit back into your hips and keep your chest up to hold the low stance.
3. Step your right foot laterally against the band tension, then bring your left foot in to reset the stance.
4. Continue controlled side steps while maintaining the low squat and knee alignment.",Keep hips back chest tall and step slowly to maintain band tension,3,"Obesity / Overweight, Osteoarthritis"
Band Step-Back Burpee,Weight Gain,Cardio,Full,Resistance Band,Beginner,Lower back pain (non-specific),3,6–10,8–9,60–90 sec,Combines strength and cardio to increase overall work capacity and coordination,"1. Place a loop band around both ankles and stand with feet hip-width and a slight squat.
2. Bend at the hips and knees and step your right foot back into a plank while keeping your core braced.
3. Step the right foot forward to meet the left, stand tall, and perform a small hop or reach overhead.
4. Alternate by stepping the left foot back on the next rep.",Hinge from hips and control each step back maintaining a neutral spine,6,Obesity / Overweight
Band Mountain Climbers,Weight Gain,Cardio,Core,Resistance Band,Beginner,Reduced core stability,3,20–30,7–8,30–45 sec,Enhances core endurance and shoulder stability while elevating heart rate,"1. Place a loop band around both feet and assume a high plank with hands under shoulders.
2. Brace your core and pull your right knee toward your chest against the band resistance.
3. Return the right foot and quickly drive the left knee toward your chest, alternating in a running motion.",Brace core and move knees toward chest with slow controlled tempo,6.5,None
Band Front Punch,Weight Gain,Cardio,Upper,Resistance Band,Beginner,Shoulder pain (general),3,12–15,6–8,30–45 sec,Improves upper body power and shoulder endurance through repeated punching motion,"1. Anchor the band behind you at chest height and hold one handle in each hand with a staggered stance.
2. Keep hands near your chin and punch your right hand forward, fully extending the arm against the band.
3. Retract the right hand under control and repeat the same punch with the left hand.",Stand tall exhale as you extend and keep shoulders down,3.5,None
Band Forward Step-Outs,Weight Gain,Cardio,Lower,Resistance Band,Beginner,Limited single-leg balance,3,10–15,6–8,30–60 sec,Develops single leg strength and balance during controlled forward stepping,"1. Place a loop band around both ankles and stand tall with a slight knee bend.
2. Step your right foot forward and slightly outward against the band tension.
3. Bring your left foot forward to restore spacing while keeping the band taut.
4. Continue stepping forward, alternating feet, and maintain an upright posture.",Step forward keeping chest up and knee tracking over toes,3.8,None
Band Bear Plank Taps,Weight Gain,Cardio,Full,Resistance Band,Beginner,Reduced core stability,3,12–20,6–8,30–60 sec,Enhances core stability and shoulder endurance,"1. Loop a mini band around your wrists and come into a bear plank with knees hovering.
2. Brace your core and keep your back flat.
3. Lift your right hand and tap your left shoulder, then return it to the ground.
4. Repeat alternating taps in a controlled, steady rhythm.",Keep hips level and brace core to prevent rotation,5,"Hypertension, Coronary Artery Disease"
Band Seated Knee Tucks,Weight Gain,Cardio,Core,Resistance Band,Beginner,Reduced core stability,3,10–15,7–9,45–60 sec,Strengthens abdominal muscles and improves hip flexor engagement,"1. Sit tall with a loop band around your feet and hold the band ends at your sides.
2. Lean back slightly and lift your feet a few inches off the floor.
3. Draw your knees toward your chest by contracting your abs against the band.
4. Extend your legs back out with control and repeat.",Keep a neutral spine and exhale as you pull knees in,3,None
